401	14世紀後半	日本	中世	A	観阿弥・世阿弥が能を大成する	観阿弥・世阿弥は猿楽を発展させ、足利義満の保護も受けて能を大成した。	観阿弥・世阿弥・能
402	15世紀後半	日本	中世	A	雪舟が水墨画を大成する	雪舟は明に渡って絵画を学び、日本の水墨画を大成した。	雪舟・水墨画・東山文化
403	15世紀ごろ	日本	中世	A	書院造が発達する	床の間・違い棚・付書院などをもつ書院造が発達し、後の和風住宅の基礎となった。	書院造・東山文化・建築
404	15世紀ごろ	日本	中世	B	枯山水の庭園が発達する	石や砂を用いて山水を象徴的に表す枯山水が禅宗寺院などで発達した。	枯山水・禅宗・東山文化
405	15〜16世紀ごろ	日本	近世	A	茶の湯が広がる	村田珠光らによって茶の湯が発展し、やがてわび茶の文化へつながった。	茶の湯・わび茶・東山文化
406	1576年	日本	近世	A	織田信長が安土城の築城を始める	安土城は高い天主をもつ壮大な城郭で、戦国大名の権力を示す象徴となった。	安土城・織田信長・城郭
407	16世紀後半	日本	近世	A	狩野永徳が豪壮な障壁画を描く	狩野永徳は金碧障壁画など豪華で力強い絵画を制作し、桃山文化を代表した。	狩野永徳・障壁画・桃山文化
408	16世紀後半	日本	近世	A	南蛮文化が広がる	ヨーロッパ人との交流を通して、南蛮屏風・活版印刷・新しい衣食文化などが伝わった。	南蛮文化・南蛮屏風・大航海時代
409	16世紀後半	日本	近世	A	千利休がわび茶を大成する	千利休は簡素さを重んじるわび茶を大成し、茶の湯を日本文化の重要な形式へ高めた。	千利休・わび茶・茶の湯
410	17世紀初め	日本	近世	A	出雲阿国らのかぶき踊りが広がる	出雲阿国のかぶき踊りを起源の一つとして、歌舞伎が都市の庶民文化として発達した。	歌舞伎・出雲阿国・庶民文化
411	17世紀後半	日本	近世	B	菱川師宣が浮世絵を発展させる	菱川師宣は木版画を用いた浮世絵を発展させ、都市の風俗や美人を描いた。	菱川師宣・浮世絵・元禄文化
412	1682年	日本	近世	A	井原西鶴の『好色一代男』が刊行される	井原西鶴は町人の生活や欲望を生き生きと描く浮世草子を発展させた。	井原西鶴・浮世草子・元禄文化
413	1703年	日本	近世	A	近松門左衛門の『曽根崎心中』が上演される	近松門左衛門は人形浄瑠璃や歌舞伎の脚本で町人社会の人間関係を描いた。	近松門左衛門・人形浄瑠璃・元禄文化
414	18世紀後半	日本	近世	B	与謝蕪村が俳諧と絵画で活躍する	与謝蕪村は俳人であると同時に画家としても活躍し、俳諧と絵画を結び付けた。	与謝蕪村・俳諧・文人画
415	1798年	日本	近世	A	本居宣長が『古事記伝』を完成する	本居宣長は『古事記』を研究し、日本古来の考え方を明らかにしようとする国学を大成した。	本居宣長・国学・古事記伝
416	1802年	日本	近世	A	十返舎一九の『東海道中膝栗毛』が刊行され始める	弥次郎兵衛と喜多八の旅をユーモラスに描き、庶民の旅行文化を反映した作品である。	十返舎一九・東海道中膝栗毛・化政文化
417	1814年	日本	近世	B	滝沢馬琴の『南総里見八犬伝』の刊行が始まる	滝沢馬琴の長編読本で、江戸後期の出版文化の発達を代表する作品である。	滝沢馬琴・南総里見八犬伝・化政文化
418	1831年ごろ	日本	近世	A	葛飾北斎の『富嶽三十六景』が刊行される	富士山をさまざまな場所・構図から描いた浮世絵で、化政文化を代表する。	葛飾北斎・富嶽三十六景・浮世絵
